Date,Revenue
2009-01-01,112.0
2010-01-01,117.0
2011-01-01,204.0
2012-01-01,413.0
2013-01-01,2013.0
2014-01-01,3198.0
2015-01-01,4046.0
2016-01-01,7000.0
2017-01-01,11759.0
2018-01-01,21461.0
2019-01-01,24578.0
2020-01-01,31536.0
2021-01-01,53823.0
2022-01-01,81462.0
2023-01-01,96773.0
2023-12-31,150470.75039397753
2024-12-31,237968.74056917525
2025-12-31,383037.4515346475
2026-12-31,627928.8992030389
2027-12-31,1049139.6216720154
2028-12-31,1787833.6080232365
